candidate_node,is_monitored,nearest_monitor,nearest_monitor_hop,observability_tier
HS1306571,True,HS1306571,0,direct
HS1306601,True,HS1306601,0,direct
HS1306904,True,HS1306904,0,direct
HS1313001,True,HS1313001,0,direct
HS1313025,True,HS1313025,0,direct
HS1313205,True,HS1313205,0,direct
HS1313253,True,HS1313253,0,direct
HS1313298,True,HS1313298,0,direct
HS1313402,True,HS1313402,0,direct
HS1313597,True,HS1313597,0,direct
HS1313835,True,HS1313835,0,direct
HS1316563,True,HS1316563,0,direct
HS1311339,False,MH0100292,3,far
HS1316643,False,HS1316563,3,far
HS1344263,False,HS1316563,3,far
MH0242782,False,HS1316563,4,far
HS1316415,False,HS1308324,5,far
HS1344902,False,HS1316563,5,far
MH0258475,False,HS1316563,5,far
HS1330842,False,HS2003013,6,far
HS2003085,False,HS2003013,6,far
HS1306471,False,HS1308324,7,far
HS1316814,False,HS1308324,9,far
HS1314237,False,HS1306601,15,far
HS2003111,False,HS1306601,15,far
MH0200661,False,HS1306601,15,far
MH0201629,False,HS1306601,15,far
MH0201710,False,HS1306601,15,far
VP0232532,False,HS1306601,15,far
HS1306554,False,HS1306571,1,near
HS1308259,False,HS1308324,1,near
HS1308302,False,HS1308324,1,near
HS1311473,False,HS1313001,1,near
HS1313140,False,HS1313044,1,near
HS1313471,False,HS1313487,1,near
HS1313618,False,HS1313640,1,near
HS1313925,False,HS1313959,1,near
HS1314477,False,HS1308324,1,near
HS1316417,False,HS1313835,1,near
HS1324403,False,HS1313044,1,near
HS2003015,False,HS2003013,1,near
HS2003046,False,HS1306601,1,near
MH0101924,False,HS1313402,1,near
HS1311288,False,HS1313001,2,near
HS1314505,False,HS2003013,2,near
HS1316202,False,HS1316267,2,near
HS1316585,False,HS1316563,2,near
HS1316721,False,HS1316467,2,near
HS1344261,False,HS1316267,2,near
HS1344920,False,HS1313298,2,near
